rank,product_id,final_score,clip_similarity,color_similarity
1,11,0.893,0.8751,0.9346
2,5,0.8766,0.8572,0.9218
3,2,0.8648,0.8873,0.8124
4,6,0.8338,0.9092,0.6577
5,7,0.8337,0.903,0.6719
6,18,0.8299,0.8807,0.7114
7,8,0.806,0.9027,0.5804
8,10,0.8049,0.9149,0.5482
9,13,0.7994,0.9233,0.5103
10,9,0.7983,0.924,0.5052
11,14,0.7931,0.9192,0.4989
12,4,0.7924,0.9046,0.5306
13,19,0.7889,0.8848,0.5651
14,3,0.7881,0.8929,0.5436
15,1,0.7868,0.8998,0.523
16,15,0.7868,0.9084,0.5031
17,12,0.7805,0.9014,0.4984
18,17,0.7743,0.8925,0.4986
19,20,0.7684,0.8803,0.5073
20,16,0.7679,0.8829,0.4997
